Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
993.5,13.75,20.72,63
993.5,15.27,20.44,63
993.5,16.76,20.17,63
993.5,18.29,19.89,63
993.5,19.84,19.72,63
993.5,21.37,19.28,63
993.51,22.89,19.06,63
993.51,24.41,18.78,63
993.51,25.88,18.56,63
993.51,27.49,18.06,63
993.51,28.96,17.72,63
993.51,30.54,17.33,63
993.51,32,17.11,63
993.51,35.08,13.83,63
993.51,36.55,12.11,63
993.51,37.37,12.06,63
1008.5,0.03,20.72,63
1008.5,1.62,20.56,63
1008.5,3.02,20.44,63
1008.5,4.54,20.44,63
1008.5,6.13,20.44,63
1008.5,7.62,20.39,63
1008.5,9.17,20.39,63
1008.5,10.7,20.39,63
1008.5,12.16,20.39,63
1008.5,15.21,20.11,63
1008.5,16.82,19.94,63
1008.5,18.32,19.78,63
1008.5,19.81,19.56,63
1008.5,21.31,19.33,63
1008.51,22.89,19,63
1008.51,24.35,18.94,63
1008.51,25.91,18.56,63
1008.51,27.46,18.17,63
1008.51,28.99,17.89,63
1008.51,30.51,17.39,63
1008.51,31.97,16.78,63
1008.51,33.5,15.83,63
1008.51,35.02,13.5,63
1008.51,36.09,12.11,63
1022.5,0.03,19.56,63
1022.5,1.52,19.56,63
1022.5,3.08,19.56,63
1022.5,4.6,19.56,63
1022.5,6.1,19.56,63
1022.5,7.59,19.56,63
1022.5,9.14,19.56,63
1022.5,10.67,19.56,63
1022.5,12.25,19.5,63
1022.5,13.72,19.44,63
1022.5,15.21,19.44,63
1022.5,16.76,19.33,63
1022.5,18.32,19.17,63
1022.5,19.81,19.06,63
1022.5,21.31,18.94,63
1022.51,22.92,18.61,63
1022.51,24.38,18.33,63
1022.51,25.91,17.78,63
1022.51,27.43,17.39,63
1022.51,28.96,17.17,63
1022.51,30.54,16.83,63
1022.51,32.03,16.61,63
1022.51,33.53,16.06,63
1022.51,35.14,15.44,63
1022.51,35.63,15.11,63
1036.5,0.24,17.78,63
1036.5,1.89,17.78,63
1036.5,3.26,17.72,63
1036.5,4.63,17.56,63
1036.5,6.25,17.5,63
1036.5,7.89,17.5,63
1036.5,9.48,17.5,63
