$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     8.524,     4.807,    21.256,    40.907,    20.649,    40.035,    57.943,    77.862,    24.280,    13.652,     9.079,    13.543,    70.179,    77.648,    86.131,   165.077,   175.451,   110.648,   102.878,    87.233,   123.516,   126.062,   102.533,   195.875,   239.445,   234.125,   234.112,   254.181,   264.988,     0.000, 58
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     4.582,     4.582,    17.060,    38.473,    20.649,    40.035,    57.943,    67.110,    20.477,     9.165,     9.079,     9.164,    59.590,    72.777,    66.819,   165.077,   170.634,   103.988,    86.312,    83.465,   116.040,   121.034,    93.389,   194.363,   235.360,   233.951,   229.274,   254.181,   264.988,     0.000, 59
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     4.582,     4.582,    10.022,    37.376,    20.649,    39.011,    56.296,    58.375,    16.551,     9.165,     9.079,     9.164,    52.905,    65.786,    53.859,   165.077,   147.497,    93.261,    75.028,    79.420,   110.731,   110.298,    88.540,   194.363,   234.675,   233.092,   222.599,   254.181,   264.988,     0.000, 60
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     4.582,     0.000,     9.310,    33.590,    19.702,    38.337,    54.097,    54.585,    12.729,     9.165,     9.079,     9.164,    38.784,    61.976,    45.341,   165.077,   122.532,    84.473,    58.494,    73.460,   102.487,   103.283,    86.303,   194.363,   234.675,   232.156,   215.283,   254.181,   264.988,     0.000, 61
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.203,    30.415,    18.111,    37.896,    50.591,    43.590,     8.592,     4.601,     4.601,     9.164,    29.904,    56.531,    41.758,   164.409,   118.148,    76.304,    47.943,    66.929,    95.560,    92.951,    83.848,   192.449,   227.545,   224.399,   210.300,   252.943,   264.988,     0.000, 62
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.203,    29.585,    14.420,    37.896,    45.781,    31.111,     4.691,     4.601,     4.601,     4.691,    21.888,    54.450,    39.443,   164.409,   118.148,    71.908,    37.193,    62.419,    77.859,    84.406,    82.514,   192.449,   175.805,   224.286,   210.300,   252.943,   264.988,     0.000, 63
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.203,    29.585,    11.982,    36.600,    34.869,    16.937,     4.691,     4.601,     4.601,     4.691,    13.603,    49.149,    37.146,   164.409,   118.148,    67.639,    27.694,    56.242,    68.985,    78.973,    82.514,   188.580,   136.033,   217.283,   205.857,   252.943,   264.988,     0.000, 64
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.203,    29.585,    11.982,    36.600,    33.462,    12.944,     4.691,     0.000,     0.000,     0.000,     5.047,    34.568,    34.021,   164.409,   118.013,    61.641,    15.221,    51.179,    62.956,    70.119,    82.514,   153.587,   116.538,   217.283,   205.857,   252.943,   264.988,     0.000, 65
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.231,    29.585,    11.454,    36.600,    33.462,    11.792,     0.000,     0.000,     0.000,     0.000,     5.047,    18.439,    31.744,   164.409,   114.327,    55.890,     9.229,    44.577,    62.007,    64.297,    82.514,   137.166,   107.243,   217.283,   205.857,   233.298,   264.988,     0.000, 66
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.231,    25.952,    11.454,    36.600,    33.462,     5.403,     0.000,     0.000,     0.000,     0.000,     0.000,    13.817,    29.246,   164.409,   109.028,    43.864,     5.403,    35.940,    57.307,    61.186,    79.725,   101.162,   103.778,   217.283,   205.857,   233.298,   264.988,     0.000, 67
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.231,    23.218,    11.454,    36.600,    33.462,     5.403,     0.000,     0.000,     0.000,     0.000,     0.000,     5.536,    24.588,   164.409,   102.928,    18.882,     0.000,    26.387,    57.034,    59.165,    78.194,    86.438,    99.286,   217.283,   205.857,   233.298,   264.988,     0.000, 68
